Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2840,Vuori Clothing,Vital Short | Charcoal,Charcoal / S,V378CCLSML,843084183647,,,,,10.56,31.68,oz,delivered,03/25/2021 at 14:47,64.00,133,3,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Charcoal,Charcoal / XL,V378CCLXLG,843084183678,,,,,10.56,21.12,oz,delivered,03/25/2021 at 14:47,64.00,147,2,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Charcoal,Charcoal / XXL,V378CCLXXL,843084183685,,,,,10.56,10.56,oz,delivered,03/25/2021 at 14:47,64.00,43,1,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Salt,Salt / L,V378SALLRG,840159712108,,,,,10.56,42.24,oz,delivered,03/25/2021 at 14:47,64.00,317,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Salt,Salt / M,V378SALMED,840159712092,,,,,10.56,42.24,oz,delivered,03/25/2021 at 14:47,64.00,351,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Salt,Salt / S,V378SALSML,840159712085,,,,,10.56,31.68,oz,delivered,03/25/2021 at 14:47,64.00,112,3,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Salt,Salt / XL,V378SALXLG,840159712115,,,,,10.56,21.12,oz,delivered,03/25/2021 at 14:47,64.00,123,2,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Salt,Salt / XXL,V378SALXXL,840159712122,,,,,10.56,10.56,oz,delivered,03/25/2021 at 14:47,64.00,36,1,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Terracotta,Terracotta / L,V378TERLRG,843084183722,,,,,10.56,42.24,oz,delivered,03/25/2021 at 14:47,64.00,368,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Terracotta,Terracotta / M,V378TERMED,843084183715,,,,,10.56,42.24,oz,delivered,03/25/2021 at 14:47,64.00,420,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Terracotta,Terracotta / S,V378TERSML,843084183708,,,,,10.56,31.68,oz,delivered,03/25/2021 at 14:47,64.00,153,3,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Terracotta,Terracotta / XL,V378TERXLG,843084183739,,,,,10.56,21.12,oz,delivered,03/25/2021 at 14:47,64.00,132,2,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Terracotta,Terracotta / XXL,V378TERXXL,843084183746,,,,,10.56,10.56,oz,delivered,03/25/2021 at 14:47,64.00,41,1,N/A,N/A,,,,
T2840,Vuori Clothing,Ripstop Climber Pant | Dark Oregano,Dark Oregano / L,V412DORLRG,843084184026,,,,,14.08,84.48,oz,delivered,03/25/2021 at 14:47,89.00,818,6,N/A,N/A,,,,
T2840,Vuori Clothing,Ripstop Climber Pant | Dark Oregano,Dark Oregano / M,V412DORMED,843084184019,,,,,14.08,84.48,oz,delivered,03/25/2021 at 14:47,89.00,707,6,N/A,N/A,,,,
T2840,Vuori Clothing,Ripstop Climber Pant | Dark Oregano,Dark Oregano / S,V412DORSML,843084184002,,,,,14.08,56.32,oz,delivered,03/25/2021 at 14:47,89.00,142,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ripstop Climber Pant | Dark Oregano,Dark Oregano / XL,V412DORXLG,843084184033,,,,,14.08,56.32,oz,delivered,03/25/2021 at 14:47,89.00,375,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ripstop Climber Pant | Dark Oregano,Dark Oregano / XXL,V412DORXXL,843084184040,,,,,14.08,28.16,oz,delivered,03/25/2021 at 14:47,89.00,82,2,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / L,V418HORLRG,843084184446,,,,,11.2,67.2,oz,delivered,03/25/2021 at 14:47,84.00,558,6,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / M,V418HORMED,843084184439,,,,,11.2,67.2,oz,delivered,03/25/2021 at 14:47,84.00,633,6,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / S,V418HORSML,843084184422,,,,,11.2,44.8,oz,delivered,03/25/2021 at 14:47,84.00,191,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / XL,V418HORXLG,843084184453,,,,,11.2,44.8,oz,delivered,03/25/2021 at 14:47,84.00,236,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / XXL,V418HORXXL,843084184460,,,,,11.2,22.4,oz,delivered,03/25/2021 at 14:47,84.00,8,2,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / L,V418HPTLRG,843084184507,,,,,11.2,67.2,oz,delivered,03/25/2021 at 14:47,84.00,446,6,N/A,N/A,,,,
